Seq ID	Length	GC Content	GC Skew	Melting Point (°C)	Mol Weight
2L52.1a	1284	0.37	0.2	85.3	399363.14
2L52.1b	663	0.35	0.16	83.95	206073.35
2RSSE.1a	1032	0.52	0.02	91.92	319168.29
2RSSE.1b	1437	0.51	0.0	91.57	444266.16
3R5.1a	648	0.42	0.04	87.03	200484.11
3R5.1b	636	0.42	0.04	87.11	196737.71
4R79.1a	1035	0.41	0.06	86.82	320532.05
4R79.1b	543	0.4	0.03	85.88	168042.54
4R79.2a	1188	0.39	0.14	86.08	368626.03
4R79.2b	936	0.38	0.19	85.6	290820.26
6R55.2	258	0.36	-0.29	82.38	79136.65
AC3.1	1068	0.35	-0.07	84.09	329007.37
AC3.2	1578	0.36	0.12	84.77	489055.17
AC3.3	1278	0.48	-0.32	90.72	391390.04
AC3.4	1278	0.48	-0.31	90.75	391421.05
AC3.5a	3273	0.38	0.05	85.99	1013651.55
AC3.5b	2952	0.38	0.07	85.78	914618.07
AC3.6	978	0.49	0.12	90.28	303506.58
AC3.7	1590	0.36	-0.05	84.74	490714.26
AC3.8	1596	0.36	-0.01	84.94	493029.69
AC3.10	1056	0.39	0.09	85.67	326840.91
AC3.12	285	0.38	0.38	84.15	88979.97
AC7.1a	1188	0.4	-0.0	86.44	366683.17
AC7.1b	1161	0.4	0.01	86.41	358433.89
AC7.2a	1680	0.42	-0.01	87.8	519213.95
AC7.2b	1677	0.42	-0.03	87.55	518052.32
AC7.2c	1896	0.43	-0.02	88.05	585856.48
AC7.2d	1650	0.42	-0.04	87.58	509612.92
AC7.3	711	0.41	0.09	86.75	220434.06
AC8.3	1320	0.44	0.09	88.54	409469.86
AC8.4	654	0.44	0.05	87.66	202537.46
AC8.7	690	0.45	-0.06	88.16	212967.06
AC8.10	1320	0.44	0.09	88.54	409469.86
AC8.11	654	0.44	0.05	87.66	202537.46
AC8.12	690	0.45	-0.06	88.16	212967.06
AH6.1	3414	0.38	0.1	86.08	1057933.07
AH6.2	990	0.43	0.01	87.58	306149.67
AH6.3	693	0.44	0.14	87.78	215759.4
AH6.4	996	0.36	-0.04	84.19	307245.59
AH6.5	1404	0.47	-0.11	89.75	432795.43
AH6.6	990	0.32	0.05	82.86	305864.79
AH6.7	990	0.34	-0.07	83.71	305146.3
AH6.8	990	0.34	-0.06	83.43	305187.28
AH6.10	990	0.36	-0.01	84.59	305543.35
AH6.11	990	0.34	-0.08	83.72	304999.15
AH6.12	990	0.34	0.03	83.51	305849.74
AH6.14	996	0.34	0.0	83.8	307450.76
AH6.17	186	0.4	0.14	83.42	57772.01
AH9.1	1236	0.42	-0.11	87.33	380254.54
AH9.2	897	0.46	-0.01	89.1	277063.77
AH9.3	765	0.44	0.12	88.15	237771.25
AH9.4	1095	0.43	-0.03	87.53	337823.67
AH9.6	801	0.45	0.19	88.63	248996.96
AH10.1	1701	0.5	0.06	90.87	526749.78
AH10.2	738	0.38	-0.24	84.64	226621.02
AH10.3	519	0.39	0.08	85.44	160835.96
AH10.4	219	0.31	0.0	80.83	67643.35
B0001.1a	816	0.44	-0.01	87.69	252226.21
B0001.1b	498	0.43	0.01	87.34	154005.43
B0001.1c	213	0.46	-0.05	87.4	65810.06
B0001.2	2781	0.39	0.11	86.3	862483.42
B0001.3a	1776	0.43	0.08	87.49	550201.72
B0001.3b	1728	0.43	0.06	87.67	535220.13
B0001.3c	1725	0.43	0.06	87.65	534288.54
B0001.4a	747	0.44	-0.01	87.63	230990.73
B0001.5	1662	0.45	-0.06	88.78	513005.84
B0001.6	2025	0.41	-0.05	87.38	625688.65
B0001.7a	2196	0.42	0.02	87.34	679046.11
B0001.7b	2208	0.42	0.01	87.33	682688.44
B0001.7c	366	0.39	-0.2	84.82	112629.14
B0001.8a	1473	0.43	0.01	87.47	455703.46
B0001.8b	1479	0.43	0.01	87.42	457571.66
B0001.8c	216	0.37	-0.04	82.89	66806.87
B0019.1	2175	0.45	-0.09	89.06	670737.49
B0019.2	2244	0.41	0.01	87.01	694063.02
B0024.1	894	0.52	0.02	91.46	276739.53
B0024.2	894	0.5	0.08	90.81	277436.17
B0024.3	765	0.37	0.18	84.43	237317.82
B0024.4	1173	0.36	-0.07	84.91	361874.76
B0024.6a	3249	0.37	0.12	85.12	1006884.65
B0024.6b	3261	0.37	0.12	85.12	1010600.04
B0024.8a	3849	0.39	0.03	86.56	1191306.8
B0024.8b	2073	0.39	0.01	86.49	641369.76
B0024.8c	1806	0.39	0.03	86.39	558944.95
B0024.8d	1800	0.39	0.0	86.31	556631.41
B0024.9a	438	0.44	0.04	87.79	135486.51
B0024.9b	360	0.44	0.1	87.4	111557.22
B0024.10	1722	0.42	0.02	87.74	533022.08
B0024.11	1734	0.42	0.12	87.57	537953.95
B0024.12	498	0.43	0.04	86.95	153869.12
B0024.13	930	0.4	-0.18	86.15	285732.49
B0024.14a	2703	0.44	0.07	88.36	837019.72
B0024.14b	2901	0.43	0.08	88.35	898628.11
B0024.14d	2715	0.43	0.07	88.34	840717.09
B0024.14f	2628	0.44	0.08	88.39	814028.06
B0024.15	1035	0.33	0.02	83.37	319998.13
B0025.1a	2706	0.39	0.05	86.24	837205.52
B0025.1b	1953	0.4	0.05	86.51	604332.52
B0025.1c	2694	0.39	0.05	86.24	833483.14
B0025.2	1488	0.36	0.06	84.9	460811.34
